sweep,quant,binary,threads,affinity,test,tps
A,Q4_0,llama-bench,2,none,pp128,12.75
A,Q4_0,llama-bench,2,none,tg32,9.09
A,Q4_0,llama-bench,4,none,pp128,15.95
A,Q4_0,llama-bench,4,none,tg32,10.21
A,Q4_0,llama-bench,6,none,pp128,18.74
A,Q4_0,llama-bench,6,none,tg32,10.95
A,Q4_0,llama-bench,8,none,pp128,20.48
A,Q4_0,llama-bench,8,none,tg32,4.57
A,Q4_0,llama-bench,2,c0,pp128,12.83
A,Q4_0,llama-bench,2,c0,tg32,8.64
A,Q4_0,llama-bench,2,3f,pp128,3.11
A,Q4_0,llama-bench,2,3f,tg32,1.80
A,Q4_0,llama-bench,4,3f,pp128,6.18
A,Q4_0,llama-bench,4,3f,tg32,3.67
A,Q4_0,llama-bench,6,3f,pp128,8.50
A,Q4_0,llama-bench,6,3f,tg32,3.41
B,Q4_0,llama-bench,6,none,pp128,18.75
B,Q4_0,llama-bench,6,none,tg32,8.82
B,Q4_0,llama-bench-nokleidi,6,none,pp128,17.48
B,Q4_0,llama-bench-nokleidi,6,none,tg32,9.17
B,Q4_K_M,llama-bench,6,none,pp128,15.32
B,Q4_K_M,llama-bench,6,none,tg32,8.84
B,Q4_K_M,llama-bench-nokleidi,6,none,pp128,16.15
B,Q4_K_M,llama-bench-nokleidi,6,none,tg32,8.34
